English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
"and, but",A1,conjunction,a,X,veznik koji povezuje riječi ili rečenice u značenju dodavanja,X,"Volim kavu, a moj prijatelj voli čaj.","I like coffee, and my friend likes tea.",
abnormal,B2,adjective,abnormalan,X,neprirodan; koji odstupa od uobičajenog,X,Njegovo ponašanje bilo je potpuno abnormalno nakon nesreće.,His behavior was completely abnormal after the accident.,
abnormality,C,feminine,abnormalnost,X,stanje koje odstupa od normale,X,"Njegova abnormalnost nije bila samo medicinska pojava, već i društveni izazov.",His abnormality was not just a medical phenomenon but also a social challenge.,
adequacy,B2,feminine,adekvatnost,X,odgovarajuća mjera kvalitete ili količine nečega,X,Adekvatnost nastave ovisi o kvaliteti nastavnika.,The adequacy of teaching depends on the quality of the teachers.,
"advocate, lawyer, attorney",B2,masculine,advokat,X,osoba koja zastupa klijente u pravnim postupcima,X,Advokat je specijaliziran za međunarodno pravo.,The advocate is specialized in international law.,
airport,A2,masculine,aerodrom,X,mjesto gdje polijeću i slijeću avioni,X,Aerodrom je bio pun putnika i velikih aviona.,The airport was full of passengers and large planes.,
African,A2,adjective,afrički,X,koji se odnosi na Afriku,X,Kupio sam afrički bubanj na tržnici.,I bought an African drum at the market.,
Africa,A1,feminine,Afrika,X,"kontinent na jugu svijeta s velikim pustinjama, savanama i raznolikim narodima",X,Afrika je veliki kontinent.,Africa is a big continent.,
aggression,B2,feminine,agresija,X,nasilno ponašanje usmjereno protiv nekoga ili nečega,X,Agresija između dviju skupina eskalirala je nakon sukoba.,Aggression between the two groups escalated after the conflict.,
aggressive,B2,adjective,agresivan,X,koji pokazuje nasilno ili napadačko ponašanje,X,Njegov agresivan ton izazvao je napetost u razgovoru.,His aggressive tone caused tension in the conversation.,
aggressiveness,B2,feminine,agresivnost,X,sklonost napadnom ili nasilnom ponašanju,X,Njegova agresivnost stvara napetost u timu.,His aggressiveness creates tension in the team.,
if,A1,conjunction,ako,X,veznik koji uvodi uvjet u rečenici,X,"Ako sutra bude sunce, idemo na more.","If it’s sunny tomorrow, we’re going to the sea.",
"active, top",A2,adjective,aktivan,X,koji pokazuje djelovanje ili sudjeluje u aktivnosti,X,On je vrlo aktivan i svaki dan vježba.,He is very active and exercises every day.,
activity,B1,feminine,aktivnost,X,radnja kojom se ostvaruje neki cilj,X,Volontiranje je korisna aktivnost za zajednicu.,Volunteering is a useful activity for the community.,
alarm,A2,masculine,alarm,X,uređaj koji glasno zvoni i upozorava na opasnost ili vrijeme,X,Alarm zvoni svako jutro u šest sati.,The alarm rings every morning at six o’clock.,
tool,A2,masculine,alat,X,predmet koji služi za obavljanje rada,X,Radnik koristi novi alat za popravak vrata.,The worker uses a new tool to fix the door.,
album,A2,masculine,album,X,,X,Kupio sam novi album svoje omiljene grupe.,I bought a new album by my favorite band.,
allergic,B1,adjective,alergičan,X,koji ima preosjetljivost na određene tvari,X,Alergičan sam na orahe i ne smijem ih jesti.,I am allergic to nuts and I am not allowed to eat them.,
allergy,A2,feminine,alergija,X,pretjerana osjetljivost organizma na tvari iz okoline,X,Imam alergiju na mačke.,I'm allergic to cats.,
but,A1,conjunction,ali,X,veznik koji označava suprotnost ili ograničenje,X,"Želim jesti jabuku, ali nemam nož.","I want to eat an apple, but I don’t have a knife.",
alcohol,A2,masculine,alkohol,X,piće koje sadrži etanol,X,Neki ljudi piju alkohol samo na proslavama.,Some people drink alcohol only at celebrations.,
alternative,B1,feminine,alternativa,X,druga mogućnost; zamjena za nešto,X,Postoji dobra alternativa ako ovaj plan ne uspije.,There is a good alternative if this plan doesn’t succeed.,
alternative,B2,adjective,alternativan,X,koji predstavlja drugu mogućnost; različit od uobičajenog,X,Njegov životni stil je prilično alternativan i ne uklapa se u norme.,His lifestyle is quite alternative and doesn’t fit social norms.,
amateur,B1,masculine,amater,X,,X,Amater je pobijedio iskusnog igrača na turniru.,An amateur has defeated an experienced player in a tournament.,
amateurism,B2,neuter,amaterstvo,X,,X,Amaterstvo u sportu ponekad donosi veću slobodu od profesionalnog natjecanja.,Amateurism in sports sometimes brings greater freedom than professional competition.,
ambivalence,C,feminine,ambivalentnost,X,stanje dvosmislenih ili proturječnih osjećaja prema nečemu,X,Ambivalentnost njezinih osjećaja pokazivala se u stalnom kolebanju između ljubavi i prezira.,The ambivalence of her feelings showed in her constant wavering between love and contempt.,
American,A2,adjective,američki,X,koji se odnosi na Ameriku,X,Gledamo američki film u kinu.,We are watching an American film at the movie theater.,
America,A1,feminine,Amerika,X,kontinent koji obuhvaća sjevernu i južnu ameriku,X,Amerika je daleko od Europe.,America is far from Europe.,
American,A2,masculine,Amerikanac,X,osoba podrijetlom iz Sjedinjenih Američkih Država,X,Amerikanac radi u našoj firmi u Zagrebu.,An American works in our company in Zagreb.,
"anal, rectal",B2,adjective,analni,X,koji se odnosi na anus ili završni dio crijeva,X,Medicinski pregled uključuje i analni test ako je potreban.,The medical examination includes an anal exam if necessary.,
angel,B1,masculine,anđeo,X,duhovno biće koje se smatra Božjim glasnikom,X,Anđeo u priči pomaže ljudima da pronađu put kući.,The angel in the story helps people find their way home.,
"poll, inquiry, questionnaire, survey",B1,feminine,anketa,X,istraživanje provedeno među ljudima radi prikupljanja mišljenja,X,Anketa pokazuje da većina ljudi podržava novi zakon.,The poll shows that most people support the new law.,
"machine, apparatus, device, appliance",A2,masculine,aparat,X,uređaj koji obavlja određenu funkciju,X,Aparat za kavu stoji na stolu.,The coffee machine is on the table.,
"app, application",A2,feminine,aplikacija,X,,X,Učim hrvatski s novom aplikacijom.,I'm learning Croatian with a new app.,
pharmacy,B1,feminine,apoteka,X,mjesto gdje se prodaju lijekovi,X,Apoteka u tom selu još koristi staro ime za ljekarnu.,The apothecary in that village still uses the old word for pharmacy.,
pharmacist,B1,masculine,apotekar,X,osoba koja izdaje i prodaje lijekove,X,Apotekar daje savjet o lijekovima.,The apothecary gives advice about medicines.,
absolute,B1,adjective,apsolutan,X,potpun; bez ograničenja,X,Ovo je apsolutan dokaz da govori istinu.,This is absolute proof that she is telling the truth.,
